Series_reference,Period,Data_value
BDCQ.SEA1BA,2014.09,5815
BDCQ.SEA1BA,2014.12,5592
BDCQ.SEA1BA,2015.03,5300
BDCQ.SEA1BA,2015.06,5422
BDCQ.SEA1BA,2015.09,5199
BDCQ.SEA1BA,2015.12,5060
BDCQ.SEA1BA,2016.03,5194
BDCQ.SEA1BA,2016.06,5080
BDCQ.SEA1BA,2016.09,5129
BDCQ.SEA1BA,2016.12,5157
BDCQ.SEA1BA,2017.03,5264
BDCQ.SEA1BA,2017.06,5164
BDCQ.SEA1BA,2017.09,5208
BDCQ.SEA1BA,2017.12,5381
BDCQ.SEA1BA,2018.03,5370
BDCQ.SEA1BA,2018.06,5385
BDCQ.SEA1BA,2018.09,5461
BDCQ.SEA1BA,2018.12,5434
BDCQ.SEA1BA,2019.03,5437
BDCQ.SEA1BA,2019.06,5068
BDCQ.SEA1BA,2019.09,5370
BDCQ.SEA1BA,2019.12,5165
BDCQ.SEA1BA,2020.03,5267
BDCQ.SEA1BA,2020.06,5245
BDCQ.SEA1BA,2020.09,5318
BDCQ.SEA1BA,2020.12,5275
BDCQ.SEA1BA,2021.03,5394
BDCQ.SEA1BA,2021.06,5359
BDCQ.SEA1BS,2011.06,5234
BDCQ.SEA1BS,2011.09,5268
BDCQ.SEA1BS,2011.12,5499
BDCQ.SEA1BS,2012.03,5811
BDCQ.SEA1BS,2012.06,5847
BDCQ.SEA1BS,2012.09,5922
BDCQ.SEA1BS,2012.12,5722
BDCQ.SEA1BS,2013.03,5487
BDCQ.SEA1BS,2013.06,5506
BDCQ.SEA1BS,2013.09,5540
BDCQ.SEA1BS,2013.12,5492
BDCQ.SEA1BS,2014.03,6004
BDCQ.SEA1BS,2014.06,5886
BDCQ.SEA1BS,2014.09,5815
BDCQ.SEA1BS,2014.12,5592
BDCQ.SEA1BS,2015.03,5300
BDCQ.SEA1BS,2015.06,5422
BDCQ.SEA1BS,2015.09,5199
BDCQ.SEA1BS,2015.12,5060
BDCQ.SEA1BS,2016.03,5194
BDCQ.SEA1BS,2016.06,5080
BDCQ.SEA1BS,2016.09,5129
BDCQ.SEA1BS,2016.12,5157
BDCQ.SEA1BS,2017.03,5264
BDCQ.SEA1BS,2017.06,5164
BDCQ.SEA1BS,2017.09,5208
BDCQ.SEA1BS,2017.12,5381
BDCQ.SEA1BS,2018.03,5370
BDCQ.SEA1BS,2018.06,5385
BDCQ.SEA1BS,2018.09,5461
BDCQ.SEA1BS,2018.12,5434
BDCQ.SEA1BS,2019.03,5437
BDCQ.SEA1BS,2019.06,5068
BDCQ.SEA1BS,2019.09,5370
BDCQ.SEA1BS,2019.12,5165
BDCQ.SEA1BS,2020.03,5267
BDCQ.SEA1BS,2020.06,5245
BDCQ.SEA1BS,2020.09,5318
BDCQ.SEA1BS,2020.12,5275
